Sequence,Date of Collection,Clade
seq_0,2021-05-17,21F (Iota)
seq_1,2021-05-18,21J (Delta)
seq_2,2021-05-17,"20I (Alpha, V1)"
seq_3,2021-05-18,"20I (Alpha, V1)"
seq_4,2021-05-18,21F (Iota)
seq_5,2021-05-18,21F (Iota)
seq_6,2021-05-17,"20I (Alpha, V1)"
seq_7,2021-05-18,21F (Iota)
seq_8,2021-05-17,"20I (Alpha, V1)"
seq_9,2021-05-18,"20I (Alpha, V1)"
seq_10,2021-05-17,21F (Iota)
seq_11,2021-05-19,"20I (Alpha, V1)"
seq_12,2021-05-17,"20I (Alpha, V1)"
seq_13,2021-05-18,"20I (Alpha, V1)"
seq_14,2021-05-18,"20I (Alpha, V1)"
seq_15,2021-05-19,"20J (Gamma, V3)"
seq_16,2021-05-24,"20I (Alpha, V1)"
seq_17,2021-05-24,21F (Iota)
seq_18,2021-05-24,"20I (Alpha, V1)"
seq_19,2021-05-24,21J (Delta)
seq_20,2021-05-24,"20I (Alpha, V1)"
seq_21,2021-05-24,20C
seq_22,2021-05-24,21F (Iota)
seq_23,2021-05-24,21H (Mu)
seq_24,2021-05-24,21H (Mu)
seq_25,2021-05-27,21H (Mu)
seq_26,2021-05-24,"20I (Alpha, V1)"
seq_27,2021-05-24,21F (Iota)
seq_28,2021-05-27,20C
seq_29,2021-05-27,"20I (Alpha, V1)"
seq_30,2021-05-27,"20I (Alpha, V1)"
seq_31,2021-05-27,"20I (Alpha, V1)"
seq_32,2021-05-24,20C
seq_33,2021-05-27,"20I (Alpha, V1)"
seq_34,2021-05-27,"20J (Gamma, V3)"
seq_35,2021-05-26,"20I (Alpha, V1)"
seq_36,2021-05-26,19B
seq_37,2021-05-26,"20I (Alpha, V1)"
seq_38,2021-05-24,21H (Mu)
seq_39,2021-05-26,21J (Delta)
seq_40,2021-05-24,"20I (Alpha, V1)"
seq_41,2021-05-26,"20I (Alpha, V1)"
seq_42,2021-06-02,21G (Lambda)
seq_43,2021-06-02,21G (Lambda)
seq_44,2021-06-02,"20I (Alpha, V1)"
seq_45,2021-06-02,"20I (Alpha, V1)"
seq_46,2021-06-02,"20I (Alpha, V1)"
seq_47,2021-05-31,21H (Mu)
seq_48,2021-06-03,21H (Mu)
seq_49,2021-05-31,21H (Mu)
seq_50,2021-06-02,21H (Mu)
seq_51,2021-06-03,21H (Mu)
seq_52,2021-06-02,21G (Lambda)
seq_53,2021-06-02,21I (Delta)
seq_54,2021-05-31,21H (Mu)
seq_55,2021-05-28,"20I (Alpha, V1)"
seq_56,2021-05-28,"20J (Gamma, V3)"
seq_57,2021-05-27,"20I (Alpha, V1)"
seq_58,2021-05-27,21F (Iota)
seq_59,2021-05-27,21F (Iota)
seq_60,2021-05-28,"20I (Alpha, V1)"
seq_61,2021-05-28,21J (Delta)
seq_62,2021-05-28,21F (Iota)
seq_63,2021-05-28,"20I (Alpha, V1)"
seq_64,2021-05-28,"20I (Alpha, V1)"
seq_65,2021-05-28,20C
seq_66,2021-05-28,"20J (Gamma, V3)"
seq_67,2021-05-28,"20I (Alpha, V1)"
seq_68,2021-05-27,"20I (Alpha, V1)"
seq_69,2021-05-28,"20I (Alpha, V1)"
seq_70,2021-05-28,"20I (Alpha, V1)"
seq_71,2021-06-03,21G (Lambda)
seq_72,2021-06-07,"20J (Gamma, V3)"
seq_73,2021-06-03,"20J (Gamma, V3)"
seq_74,2021-06-07,21H (Mu)
seq_75,2021-06-07,21J (Delta)
seq_76,2021-06-03,"20J (Gamma, V3)"
seq_77,2021-06-03,20C
seq_78,2021-06-03,"20I (Alpha, V1)"
seq_79,2021-06-03,"20I (Alpha, V1)"
seq_80,2021-06-03,20A
seq_81,2021-06-03,20A
seq_82,2021-06-07,21J (Delta)
seq_83,2021-06-03,"20J (Gamma, V3)"
seq_84,2021-06-09,20A
seq_85,2021-06-08,21I (Delta)
seq_86,2021-06-08,"20I (Alpha, V1)"
seq_87,2021-06-09,21H (Mu)
seq_88,2021-06-08,21I (Delta)
seq_89,2021-06-08,21H (Mu)
seq_90,2021-06-08,21H (Mu)
seq_91,2021-06-11,21I (Delta)
seq_92,2021-06-09,21F (Iota)
seq_93,2021-06-14,21I (Delta)
seq_94,2021-06-10,21I (Delta)
seq_95,2021-06-09,"20I (Alpha, V1)"
seq_96,2021-06-10,21I (Delta)
seq_97,2021-06-11,21J (Delta)
seq_98,2021-06-14,"20I (Alpha, V1)"
seq_99,2021-06-10,21J (Delta)
seq_100,2021-06-11,21H (Mu)
seq_101,2021-06-07,"20I (Alpha, V1)"
seq_102,2021-06-09,21J (Delta)
seq_103,2021-06-08,21I (Delta)
seq_104,2021-06-11,21F (Iota)
seq_105,2021-06-09,21I (Delta)
seq_106,2021-06-11,21J (Delta)
seq_107,2021-06-10,"20I (Alpha, V1)"
seq_108,2021-06-08,21H (Mu)
seq_109,2021-06-09,21I (Delta)
seq_110,2021-06-08,20B
seq_111,2021-06-16,"20J (Gamma, V3)"
seq_112,2021-06-15,"20I (Alpha, V1)"
seq_113,2021-06-15,21H (Mu)
seq_114,2021-06-15,21H (Mu)
seq_115,2021-06-15,"20I (Alpha, V1)"
seq_116,2021-06-15,"20J (Gamma, V3)"
seq_117,2021-06-15,21H (Mu)
seq_118,2021-06-15,20A
seq_119,2021-06-16,21I (Delta)
seq_120,2021-06-16,21H (Mu)
seq_121,2021-06-17,21I (Delta)
seq_122,2021-06-16,"20I (Alpha, V1)"
seq_123,2021-06-16,21A (Delta)
seq_124,2021-06-14,"20J (Gamma, V3)"
seq_125,2021-06-14,21J (Delta)
seq_126,2021-06-17,21J (Delta)
seq_127,2021-06-21,21H (Mu)
seq_128,2021-06-21,20G
seq_129,2021-06-24,"20I (Alpha, V1)"
seq_130,2021-06-22,"20J (Gamma, V3)"
seq_131,2021-06-23,"20I (Alpha, V1)"
seq_132,2021-06-24,21J (Delta)
seq_133,2021-06-21,"20I (Alpha, V1)"
