strain,source,source__color
nyomi130,A,#6098C5
nyomi260,A,#6098C5
txomi001,Traveler,#FEBE64
nyomi357,A,#6098C5
nyomi046,A,#6098C5
nyomi177,A,#6098C5
nyomi284,A,#6098C5
nyomi352,A,#6098C5
nyomi145,A,#6098C5
nyomi215,A,#6098C5
nyomi137,A,#6098C5
nyomi325,A,#6098C5
nyomi031,A,#6098C5
nyomi175,A,#6098C5
nyomi205,A,#6098C5
nyomi169,A,#6098C5
nyomi183,A,#6098C5
nyomi181,A,#6098C5
nyomi025,A,#6098C5
nyomi314,A,#6098C5
nyomi009,A,#6098C5
nyomi122,A,#6098C5
nyomi060,A,#6098C5
nyomi096,A,#6098C5
njomi006,A,#6098C5
nyomi019,A,#6098C5
nyomi341,A,#6098C5
nyomi066,A,#6098C5
nyomi053,A,#6098C5
nyomi318,A,#6098C5
nyomi071,A,#6098C5
nyomi062,A,#6098C5
nyomi226,A,#6098C5
nyomi078,A,#6098C5
nyomi312,A,#6098C5
nyomi092,A,#6098C5
nyomi097,A,#6098C5
nyomi289,A,#6098C5
nyomi123,A,#6098C5
nyomi083,A,#6098C5
nyomi299,A,#6098C5
nyomi248,A,#6098C5
nyomi070,A,#6098C5
nyomi138,A,#6098C5
nyomi023,A,#6098C5
nyomi337,A,#6098C5
nyomi338,A,#6098C5
nyomi168,A,#6098C5
nyomi154,A,#6098C5
nyomi274,A,#6098C5
nyomi362,A,#6098C5
nyomi150,A,#6098C5
flomi001,Traveler,#FEBE64
nyomi104,A,#6098C5
nyomi360,A,#6098C5
nyomi199,A,#6098C5
nyomi153,A,#6098C5
nyomi050,A,#6098C5
nyomi241,A,#6098C5
oromi001,Traveler,#FEBE64
nyomi259,A,#6098C5
nyomi036,A,#6098C5
nyomi093,A,#6098C5
nyomi198,A,#6098C5
nyomi111,A,#6098C5
nyomi202,A,#6098C5
nyomi087,A,#6098C5
nyomi307,A,#6098C5
nyomi363,A,#6098C5
njomi005,A,#6098C5
nyomi107,A,#6098C5
nyomi244,A,#6098C5
nyomi359,A,#6098C5
nyomi201,A,#6098C5
nyomi131,A,#6098C5
nyomi049,A,#6098C5
nyomi176,A,#6098C5
nyomi321,A,#6098C5
nyomi110,A,#6098C5
nyomi232,A,#6098C5
nyomi165,A,#6098C5
nyomi257,A,#6098C5
nyomi017,A,#6098C5
nyomi074,A,#6098C5
nyomi187,A,#6098C5
nyomi051,A,#6098C5
nyomi042,A,#6098C5
nyomi331,A,#6098C5
nyomi148,A,#6098C5
nyomi190,A,#6098C5
nyomi091,A,#6098C5
nyomi164,A,#6098C5
nyomi171,A,#6098C5
nyomi250,A,#6098C5
flomi002,Traveler,#FEBE64
nyomi275,A,#6098C5
nyomi039,A,#6098C5
nyomi336,A,#6098C5
nyomi332,A,#6098C5
nyomi237,A,#6098C5
nyomi208,A,#6098C5
nyomi326,A,#6098C5
nyomi178,A,#6098C5
nyomi311,A,#6098C5
nyomi309,A,#6098C5
nyomi102,A,#6098C5
nyomi161,A,#6098C5
nyomi347,A,#6098C5
nyomi285,A,#6098C5
nyomi185,A,#6098C5
nyomi121,A,#6098C5
